陈云故居暨青浦革命历史纪念馆	121.050436,31.012765
龙华烈士陵园	121.455616,31.181928
中共一大会址纪念馆	121.481692,31.226053
上海陈毅广场(陈毅塑像)	121.497007,31.244737
中共二大会址纪念馆	121.473354,31.230348
上海毛泽东故居	121.46698,31.232433
宋庆龄陵园	121.417027,31.201045
上海工人第三次武装起义工人纠察队总指挥部旧址	121.480395,31.223992
八路军、新四军驻沪办事处	121.470653,31.230613
上海总工会旧址（原湖州会馆）	121.476773,31.259517
海军上海博览馆	121.508742,31.395818
中共淞浦特委办公地点旧址	121.470102,31.242081
中共上海地下组织斗争史陈列馆暨刘长胜故居	121.453137,31.231232
高桥烈士陵园	121.581279,31.363711
五卅运动纪念碑（五卅的纪念标志）	121.479664,31.239776
崇明县烈士纪念馆	121.539461,31.583914
松江烈士陵园	121.251403,31.000106
庄行暴动烈士纪念碑	121.405223,30.910834
宝山烈士陵园	121.497223,31.406419
上海解放纪念馆	121.497219,31.405787
嘉定区革命烈士陵园	121.271086,31.394629
中共“三大”后中央局机关历史纪念馆	121.48282,31.249426
中共上海地下组织斗争史陈列馆	121.452971,31.231174
中共中央特科机关旧址	121.450359,31.236944
李白烈士故居	121.487999,31.273669
上海瞿秋白旧居	121.491962,31.271626
顾正红纪念馆（顾正红烈士殉难处）	121.448934,31.253562
闵行区烈士陵园	121.375294,31.097224
《布尔什维克》编辑部旧址	121.429652,31.225224
四川北路公园中共四大纪念馆	121.4915,31.260904
中国共产党第四次代表大会史料陈列馆	121.487835,31.269855
上海市龙华烈士陵园	121.455616,31.181928
上海中共二大和平民女校旧址	121.473182,31.230298
中共中央上海局机关旧址	121.438417,31.225379
孙中山故居纪念馆	121.474202,31.22212
鲁迅纪念馆	121.490442,31.275505
韬奋纪念馆	121.47791,31.220418
中国共产党代表团驻沪办事处旧址	121.475059,31.220345
《新青年》编辑部遗址	121.4782,31.229892
上海城市规划展示馆	121.482137,31.237364
上海淞沪抗战纪念馆	121.501722,31.415477
四行仓库抗战纪念馆	121.478014,31.246317
上海世博园	121.492949,31.193041
中华人民共和国国歌纪念广场和国歌展示馆	121.520962,31.263744
